_input_hash;_task_hash;tweet_id;text;opt_LIBERDADE_4;opt_OPRESSAO_4;opt_LIBERDADE_5;opt_OPRESSAO_5;opt_LIBERDADE_6;opt_OPRESSAO_6;annotated_1;annotated_2;annotated_3;annotated_4;annotated_5;annotated_6;n_opt;annot_complete;ABORRECIMENTO;ADMIRACAO;ALEGRIA;ALIVIO;AMOR;APROVACAO;COMPRAIXAO;CONFUSAO;CURIOSIDADE;DECEPCAO;DESAPROVACAO;DESEJO;DIVERSAO;ENTUSIASMO;GRATIDAO;INVEJA;LUTO;MEDO;NERVOSISMO;EMONEUTRO;NOJO;ORGULHO;OTIMISMO;RAIVA;REMORSO;SAUDADE;SCHADENFREUDE;SURPRESA;TRISTEZA;VERGONHA;AUTORIDADE;CUIDADO;DESLEALDADE;IMORAL;IMPUREZA;LEALDADE;LIBERDADE;MALTRATO;MORAL;MORALNEUTRO;OPRESSAO;PUREZA
-1250765943;-1773269635;1511046128145477639;Eu to num estado... q só sei rezar, rezar ..rezar ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
-452034361;1830432820;1511033016696643587;nunca vi um clube que gosta de se fazer de coitadinhos pra depois saírem com a narrativa de que calaram a boca do outro time, chega a ser nojento ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
1372211672;1508989031;1511120948786831368;Voto com o relator! ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
-1288608539;-66737684;1511116709981298689;Aninha eu amo seu sucesso e torço por ele cada vez mais mas aqui você errou demais ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1562119879;-1431340235;1511043734212911113;Mãe é aquele negócio né, ninguém mexe com suas crias, mas em casa o pau tora ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
-1625548737;246879796;1511116173278171142;Talvez ele esteja certo… parte do q ocorreu e culpa minha mas o maior erro não foi eu que cometi. ;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
-455887566;-732601493;1511036291705712642;twitter só me recomenda thread ruim deus me livre ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1491124596;660326527;1511027987893956614;Faltam 20 minutos. ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
698392822;2000683861;1407759211002480000;vontade de sopinha vono;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
82480228;436290602;1511037802674282498;Mis amigos. ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
-1413821986;1000602603;1511120539041079297;heterofobia é crime ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
-425985635;1043195210;1511115677259677705;Comida ficando pronta vou tomar banho, jantar e dormi. Tô muito cansada com muita dor ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
-380038544;1586968204;1511034201314840584;já não tenho dinheiro aí o meu siso resolve nascer nesse momento kkk q lixo agr tenho que arrumar dinheiro pra ter q arrancar essa merda ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
-1795996808;332480578;1511027775842533380;Brahma tá me deixando fudida, mttt dor de cabeça 🤕 ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
-1382161031;-1906944608;1511118257419345924;Eu tenho MEDO quando eles acham alguma pista pq sempre da merda ;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1004800468;1300226637;1511036154497404941;aí pensei: ok vou ver tv, gente, que chato é ver televisão kkkkkkkkkkk to igual criança mimada que so conhece netflix ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
-380408294;329586526;1511034860655321088;Só é ilegal se a polícia descobrir ;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2132430351;-1049987871;1511037846542602241;Queria ter uns amigos pra sair anoite e ficar de bobeira ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
765809595;75321060;1511118776305078277;Acho engraçado que quando acontece alguma merda a culpa é sempre dos outros e não da Aninha. A mona gosta de colocar banca de fodona mas não segura nenhum dos seus B.O ;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
-989141692;-2063591877;1511117859417690121;Eu c a marina TODO SANTO DIA ela n tem paz ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1012412259;-1441331405;1511029872008781826;E também não mudo com uma pessoa por causa de outra ou  porque fulano falou algo, sou transparente e se eu tiver errada vou tentar consertar e tenho capacidade para pedi desculpa pelo que fiz. 👍🏽 ;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-1063682605;-1980974524;1511042578497642499;mano a minha mãe me bloqueou do insta quenga ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-1873903607;-399703105;1511037363421696000;a luna foi chamada de banguela a infância dela toda #BullyingNaoEBrincadeira ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
-230571983;673241327;1511031780010344452;Calleri cuzao do caralho ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
65031824;44202133;1407743616961890000;Tem coisas que realmente me chateiam;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-332907804;526341746;1511033944933908494;Meu gato de seis quilos dormindo em cima da bunda de uma criança de 5 anos hoje de manhã ;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
76361027;695530111;1511115105806733312;na moral vsf que desgraça de musica boa ;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
